Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_284_601,VPWR,li1,284.7400,786.0800,1.799980
FILLER_284_589,VPWR,li1,279.2200,786.0800,1.799981
FILLER_284_587,VPWR,li1,275.7700,786.0800,1.799982
FILLER_284_581,VPWR,li1,274.1600,786.0800,1.799982
FILLER_284_569,VPWR,li1,270.0200,786.0800,1.799983
FILLER_284_557,VPWR,li1,264.5000,786.0800,1.799984
FILLER_284_545,VPWR,li1,258.9800,786.0800,1.799985
FILLER_284_533,VPWR,li1,253.4600,786.0800,1.799986
FILLER_284_531,VPWR,li1,250.0100,786.0800,1.799986
FILLER_284_525,VPWR,li1,248.4000,786.0800,1.799986
FILLER_284_513,VPWR,li1,244.2600,786.0800,1.799987
FILLER_284_501,VPWR,li1,238.7400,786.0800,1.799988
FILLER_284_489,VPWR,li1,233.2200,786.0800,1.799989
FILLER_284_477,VPWR,li1,227.7000,786.0800,1.799990
FILLER_284_475,VPWR,li1,224.2500,786.0800,1.799991
FILLER_284_469,VPWR,li1,222.6400,786.0800,1.799991
FILLER_284_457,VPWR,li1,218.5000,786.0800,1.799991
FILLER_284_445,VPWR,li1,212.9800,786.0800,1.799992
FILLER_284_433,VPWR,li1,207.4600,786.0800,1.799993
FILLER_284_421,VPWR,li1,201.9400,786.0800,1.799994
FILLER_284_419,VPWR,li1,198.4900,786.0800,1.799995
FILLER_284_413,VPWR,li1,196.8800,786.0800,1.799995
FILLER_284_401,VPWR,li1,192.7400,786.0800,1.799996
FILLER_284_389,VPWR,li1,187.2200,786.0800,1.799997
FILLER_284_377,VPWR,li1,181.7000,786.0800,1.799997
FILLER_284_365,VPWR,li1,176.1800,786.0800,1.799998
FILLER_284_363,VPWR,li1,172.7300,786.0800,1.799998
FILLER_284_357,VPWR,li1,171.1200,786.0800,1.799998
FILLER_284_345,VPWR,li1,166.9800,786.0800,1.799999
FILLER_284_333,VPWR,li1,161.4600,786.0800,1.799999
FILLER_284_321,VPWR,li1,155.9400,786.0800,1.799999
FILLER_284_309,VPWR,li1,150.4200,786.0800,1.799999
FILLER_284_307,VPWR,li1,146.9700,786.0800,1.799999
FILLER_284_301,VPWR,li1,145.3600,786.0800,1.799999
FILLER_284_289,VPWR,li1,141.2200,786.0800,1.799999
FILLER_284_277,VPWR,li1,135.7000,786.0800,1.799999
FILLER_284_265,VPWR,li1,130.1800,786.0800,1.799999
FILLER_284_253,VPWR,li1,124.6600,786.0800,1.799999
FILLER_284_251,VPWR,li1,121.2100,786.0800,1.799999
FILLER_284_245,VPWR,li1,119.6000,786.0800,1.799999
FILLER_284_233,VPWR,li1,115.4600,786.0800,1.799999
FILLER_284_221,VPWR,li1,109.9400,786.0800,1.799999
FILLER_284_209,VPWR,li1,104.4200,786.0800,1.799999
FILLER_284_197,VPWR,li1,98.9000,786.0800,1.799999
FILLER_284_195,VPWR,li1,95.4500,786.0800,1.799999
FILLER_284_189,VPWR,li1,93.8400,786.0800,1.799999
FILLER_284_177,VPWR,li1,89.7000,786.0800,1.799999
FILLER_284_165,VPWR,li1,84.1800,786.0800,1.799999
FILLER_284_153,VPWR,li1,78.6600,786.0800,1.799999
FILLER_284_141,VPWR,li1,73.1400,786.0800,1.799999
FILLER_284_139,VPWR,li1,69.6900,786.0800,1.799999
FILLER_284_133,VPWR,li1,68.0800,786.0800,1.799999
FILLER_284_121,VPWR,li1,63.9400,786.0800,1.800000
FILLER_284_109,VPWR,li1,58.4200,786.0800,1.800000
